time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.4485	0.251375	-0.000719479	2.30664e-17	-2.08167e-17	lidar	0.000275949	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.47145	0.248799	-0.00552584	3.13699e-06	3.23756e-07	radar	0.125984	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46434	0.250982	-0.00838532	-2.06236e-05	-2.9389e-06	lidar	0.00655066	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.37668	0.251326	-0.903851	0.00138342	0.000343984	radar	19.7	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.31243	0.25063	-0.924846	0.00315414	0.000762943	lidar	0.347615	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.10909	0.234582	-1.33839	0.180576	0.054478	radar	29.4982	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.01163	0.203815	-1.38483	0.290879	0.0832042	lidar	1.89232	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.82403	0.341445	-1.68836	-1.23662	-0.536599	radar	17.945	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.71628	0.281398	-1.74903	-0.554216	-0.274196	lidar	3.35831	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.57848	0.200183	-1.80678	0.0912034	0.0785924	radar	1.41046	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.45529	0.138365	-1.80164	0.232466	0.0976063	lidar	1.43952	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.30822	0.193945	-2.10267	-0.0894313	-0.394387	radar	9.17805	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.16827	0.107271	-2.12207	0.0962484	-0.2318	lidar	2.57492	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.0578	0.0287717	-2.06307	0.232156	-0.0430594	radar	3.03767	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.93582	-0.104087	-2.09021	0.443528	0.251994	lidar	2.1954	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.82482	-0.157831	-2.13899	0.41912	0.0729077	radar	1.74313	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.71884	-0.286817	-2.19062	0.565639	0.266061	lidar	2.3361	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.67431	-0.468951	-2.18511	0.942158	1.10139	radar	4.37185	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.60719	-0.581549	-2.21099	1.02555	1.12797	lidar	0.398602	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.56835	-0.740943	-2.25907	1.23687	1.43858	radar	1.35623	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.52247	-0.896286	-2.30576	1.33499	1.42209	lidar	1.56088	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.4097	-0.971475	-2.22645	1.1115	0.745924	radar	8.17724	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.33997	-1.11082	-2.27395	1.14887	0.708476	lidar	1.43123	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.44769	-1.31983	-2.36487	1.61536	1.54281	radar	29.9048	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.44085	-1.48416	-2.42336	1.69396	1.50841	lidar	1.92294	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.37304	-1.58096	-2.30439	1.55852	1.09945	radar	11.5924	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.34721	-1.73872	-2.37525	1.59163	1.04619	lidar	2.9779	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.40397	-1.90033	-2.49118	1.76683	1.25489	radar	7.64547	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.41109	-2.05833	-2.55027	1.80974	1.2157	lidar	1.98136	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.39569	-2.2004	-2.50871	1.78785	1.06627	radar	4.45721	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.40645	-2.3734	-2.56809	1.82129	1.02603	lidar	1.93019	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.45399	-2.53348	-2.62968	1.89593	1.0558	radar	1.54783	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.4826	-2.70259	-2.6772	1.92955	1.02272	lidar	1.23867	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.49105	-2.83453	-2.63546	1.92361	0.936779	radar	3.09518	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.51124	-2.99632	-2.68605	1.93881	0.898298	lidar	1.61761	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.56654	-3.15361	-2.73118	1.9879	0.902402	radar	0.956234	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.60483	-3.32516	-2.77384	2.00835	0.869363	lidar	1.21635	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.68708	-3.48281	-2.84659	2.07276	0.898868	radar	2.00079	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.75695	-3.64528	-2.87957	2.10727	0.881271	lidar	0.663084	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.81919	-3.78391	-2.84404	2.13175	0.847316	radar	1.39543	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.88756	-3.94639	-2.87624	2.15555	0.822547	lidar	0.769221	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.94926	-4.07905	-2.82846	2.17448	0.787207	radar	1.71668	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.01159	-4.24011	-2.85539	2.18715	0.755546	lidar	0.943588	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.05532	-4.35336	-2.71645	2.18758	0.694686	radar	9.29909	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.11784	-4.49579	-2.72716	2.20175	0.670622	lidar	0.536751	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.18586	-4.61465	-2.6801	2.22086	0.646941	radar	1.23067	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.24262	-4.76615	-2.69812	2.22196	0.612083	lidar	1.10237	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.34732	-4.90766	-2.78186	2.25868	0.622223	radar	2.50562	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.40928	-5.06077	-2.7966	2.25635	0.585331	lidar	1.20182	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.48305	-5.18049	-2.75462	2.27037	0.563503	radar	1.23062	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.54472	-5.33808	-2.77316	2.26134	0.522718	lidar	1.39251	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.63257	-5.4614	-2.75787	2.27909	0.509446	radar	0.533155	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.70825	-5.60109	-2.76682	2.28189	0.483844	lidar	0.525885	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.78443	-5.71364	-2.71795	2.29312	0.465302	radar	1.26586	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.84478	-5.86311	-2.72683	2.27917	0.425304	lidar	1.25947	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.96084	-5.99732	-2.86893	2.30793	0.442095	radar	8.14858	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.0284	-6.14028	-2.88317	2.29594	0.407314	lidar	0.966341	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.12193	-6.26048	-2.84593	2.30764	0.393489	radar	1.28601	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.20822	-6.39765	-2.8522	2.30789	0.371723	lidar	0.345452	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.29054	-6.50904	-2.80014	2.31535	0.35637	radar	1.34739	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.35661	-6.66041	-2.80656	2.29542	0.316411	lidar	1.13843	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.44622	-6.7771	-2.79287	2.30436	0.307545	radar	0.431917	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.52221	-6.91337	-2.79317	2.29569	0.281873	lidar	0.494633	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.5965	-7.01567	-2.75853	2.29945	0.270174	radar	0.789966	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.65035	-7.15647	-2.76437	2.27421	0.231306	lidar	1.12125	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.76136	-7.28606	-2.87494	2.29017	0.241494	radar	5.21148	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.82061	-7.43554	-2.88612	2.26317	0.202231	lidar	1.16102	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.88718	-7.54797	-2.77344	2.25399	0.175306	radar	6.16797	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.94725	-7.6961	-2.77429	2.22992	0.141585	lidar	0.860246	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	9.02777	-7.81273	-2.78634	2.23179	0.137158	radar	0.299549	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.07217	-7.95942	-2.79078	2.1993	0.0979062	lidar	1.17427	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.11333	-8.06605	-2.65632	2.17803	0.0628297	radar	7.54508	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.16232	-8.20867	-2.65396	2.15238	0.0339434	lidar	0.720438	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.24115	-8.331	-2.6925	2.15466	0.037174	radar	0.704002	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.27271	-8.47765	-2.6977	2.11753	-0.00131422	lidar	1.19171	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.31461	-8.59687	-2.60411	2.09268	-0.0340159	radar	4.21676	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.35125	-8.74133	-2.60273	2.06243	-0.0619445	lidar	0.717426	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.49178	-8.89377	-2.86343	2.1154	0.0187164	radar	31.4638	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.52981	-9.05394	-2.88132	2.07966	-0.017132	lidar	1.04335	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.57154	-9.1735	-2.80853	2.0575	-0.0453722	radar	2.76248	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.6117	-9.31597	-2.81369	2.03311	-0.0670946	lidar	0.384108	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.64756	-9.43534	-2.75643	2.01078	-0.0916753	radar	1.76201	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.66392	-9.59011	-2.76675	1.96983	-0.127285	lidar	1.05239	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.73018	-9.72857	-2.81203	1.9723	-0.113437	radar	1.0504	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	9.74795	-9.88361	-2.82255	1.93533	-0.143965	lidar	0.798074	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.76401	-10.0175	-2.7388	1.89682	-0.185085	radar	3.82293	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	9.7957	-10.1611	-2.73308	1.8768	-0.194799	lidar	0.207181	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	9.83559	-10.2966	-2.73206	1.86337	-0.199906	radar	0.498856	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	9.8434	-10.4449	-2.74079	1.82891	-0.223517	lidar	0.523517	9.75524	-10.4732	9.75	-10.45	0	-3.00063
1477010448164710	9.88635	-10.5916	-2.76428	1.82497	-0.210325	radar	0.908681	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
1477010448219767	9.90522	-10.7467	-2.76764	1.79968	-0.223536	lidar	0.1813	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
1477010448274697	9.91222	-10.8882	-2.7122	1.76221	-0.258297	radar	2.03975	9.88465	-10.9383	9.85	-10.9	0	-2.73074
1477010448329628	9.91388	-11.0428	-2.71549	1.72976	-0.275864	lidar	0.355918	9.83614	-11.041	9.85	-11.05	0	-2.73073
1477010448379634	9.93108	-11.1766	-2.71571	1.71426	-0.277187	radar	0.0734926	9.83952	-11.1692	9.85	-11.2	0	-2.99965
1477010448429641	9.9221	-11.3252	-2.72778	1.67973	-0.29681	lidar	0.394194	9.84568	-11.3496	9.85	-11.35	0	-2.99961
1477010448479667	9.93649	-11.465	-2.73715	1.66565	-0.294726	radar	0.0960092	9.87961	-11.5637	9.85	-11.5	0	-2.99843
1477010448529693	9.91891	-11.6141	-2.74909	1.62945	-0.315075	lidar	0.47046	9.83206	-11.6307	9.85	-11.65	0	-2.99843
1477010448579678	9.85419	-11.7316	-2.62277	1.53596	-0.425236	radar	15.6247	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
1477010448629664	9.82597	-11.8649	-2.6244	1.49988	-0.439386	lidar	0.353393	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
1477010448679644	9.80603	-11.9929	-2.61607	1.46982	-0.449625	radar	0.174848	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
1477010448729625	9.75782	-12.1351	-2.63297	1.42385	-0.471551	lidar	0.655949	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
1477010448779630	9.69595	-12.2572	-2.58402	1.35028	-0.542492	radar	5.03101	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
1477010448829636	9.64077	-12.3826	-2.58697	1.30653	-0.558154	lidar	0.534244	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
1477010448879685	9.53125	-12.4838	-2.51525	1.19111	-0.679935	radar	11.9963	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
1477010448929734	9.45737	-12.5969	-2.51782	1.14041	-0.695531	lidar	0.624902	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
1477010448984693	9.38231	-12.7172	-2.50984	1.08402	-0.720518	radar	0.424372	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
1477010449039652	9.29726	-12.8286	-2.50515	1.03189	-0.732482	lidar	0.544927	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	9.13211	-12.9047	-2.46604	0.863978	-0.916759	radar	23.4374	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	9.00559	-12.9968	-2.49021	0.789967	-0.941422	lidar	1.60633	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	8.85921	-13.074	-2.49651	0.678262	-1.023	radar	3.95633	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.73503	-13.1408	-2.48818	0.608881	-1.03579	lidar	0.768748	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.58302	-13.1908	-2.51412	0.492341	-1.12574	radar	4.83401	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.44981	-13.2351	-2.51928	0.420612	-1.13931	lidar	0.785257	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.26078	-13.2573	-2.57568	0.27394	-1.25646	radar	8.57296	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.10906	-13.2698	-2.57042	0.188678	-1.27173	lidar	1.01934	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	7.94757	-13.2731	-2.59438	0.0891813	-1.31041	radar	1.50285	7.82914	-13.0525	7.9	-13.15	-2.72986	0
1477010449569641	7.80026	-13.2619	-2.58579	0.00495973	-1.32252	lidar	0.563225	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	7.71746	-13.29	-2.48878	0.00393008	-1.22833	radar	7.77213	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	7.56677	-13.2843	-2.52127	-0.0652541	-1.23161	lidar	0.818856	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	7.42399	-13.2641	-2.52152	-0.136612	-1.23276	radar	0.781048	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	7.26337	-13.244	-2.55594	-0.205257	-1.2298	lidar	0.585865	7.16011	-13.2382	7.15	-13.25	-2.72844	0
1477010449829700	7.11013	-13.1807	-2.62756	-0.30839	-1.2862	radar	4.12871	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
1477010449879736	6.95967	-13.1439	-2.66643	-0.368558	-1.27822	lidar	0.679952	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
1477010449934724	6.82738	-13.0961	-2.65607	-0.429829	-1.26669	radar	0.267154	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
1477010449989712	6.66779	-13.0436	-2.69701	-0.488157	-1.25205	lidar	0.723012	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
1477010450044722	6.56832	-13.0141	-2.559	-0.508769	-1.17848	radar	9.82799	6.40137	-13.0799	6.4	-13.05	-2.72678	0
1477010450099732	6.40388	-12.9718	-2.61361	-0.54513	-1.14689	lidar	1.5805	6.26174	-13.0534	6.25	-13.05	-2.72678	0
1477010450154684	6.28883	-12.9154	-2.56358	-0.586867	-1.11585	radar	1.75876	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
1477010450209637	6.11764	-12.8683	-2.6264	-0.610946	-1.07591	lidar	2.22843	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988
1477010450259674	5.98523	-12.7565	-2.75279	-0.694331	-1.12399	radar	6.91846	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851
1477010450309711	5.82677	-12.6917	-2.81022	-0.716351	-1.08754	lidar	1.94472	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852
1477010450364717	5.72735	-12.6256	-2.68433	-0.743046	-1.03522	radar	8.3705	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995
1477010450419723	5.57114	-12.5583	-2.72367	-0.759901	-0.994798	lidar	1.61824	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995
1477010450474743	5.45228	-12.4419	-2.77347	-0.819536	-1.00481	radar	0.988346	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753
1477010450529764	5.28889	-12.3681	-2.81555	-0.825911	-0.955963	lidar	2.17812	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175
1477010450584712	5.18629	-12.2723	-2.77064	-0.862952	-0.935185	radar	1.16058	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989
1477010450639660	5.04389	-12.1826	-2.7976	-0.878245	-0.899355	lidar	1.09943	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199
1477010450689678	4.94837	-12.0693	-2.81161	-0.921254	-0.897166	radar	0.444977	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929
1477010450739696	4.83217	-11.9826	-2.82259	-0.936489	-0.86828	lidar	0.76061	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928
1477010450794748	4.73825	-11.8536	-2.84031	-0.983789	-0.869371	radar	0.162787	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471
1477010450849800	4.65065	-11.7266	-2.83997	-1.02726	-0.865163	lidar	0.0209406	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247
1477010450904754	4.59359	-11.6215	-2.71709	-1.06817	-0.851665	radar	5.53282	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971
1477010450959709	4.52662	-11.5025	-2.70328	-1.11049	-0.848042	lidar	0.27142	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969
1477010451009669	4.42073	-11.3242	-2.96045	-1.15151	-0.854956	radar	24.9264	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032
1477010451059629	4.38609	-11.1772	-2.95555	-1.21161	-0.87235	lidar	0.234001	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321
1477010451114691	4.38159	-11.0558	-2.77838	-1.28069	-0.894087	radar	11.6699	4.43713	-11.024	4.45	-11.05	0	1.81614
1477010451169754	4.36996	-10.9062	-2.76418	-1.34819	-0.913066	lidar	0.419804	4.45136	-10.93	4.45	-10.95	0	1.81612
1477010451224789	4.34857	-10.7589	-2.75348	-1.40374	-0.918923	radar	0.125978	4.44745	-10.786	4.45	-10.8	0	2.72555
1477010451279824	4.36045	-10.6088	-2.73932	-1.47587	-0.941276	lidar	0.625269	4.45788	-10.6457	4.45	-10.65	0	2.72554
1477010451334789	4.35928	-10.4642	-2.72431	-1.53325	-0.948083	radar	0.295941	4.46329	-10.5756	4.45	-10.5	0	2.729
1477010451389755	4.37846	-10.315	-2.71844	-1.59929	-0.962363	lidar	0.252925	4.44057	-10.3382	4.45	-10.35	0	2.72898
1477010451444763	4.40223	-10.1704	-2.69938	-1.66467	-0.977325	radar	0.341866	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687
1477010451499772	4.45262	-10.0214	-2.69855	-1.74095	-0.999876	lidar	0.574809	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685
1477010451554732	4.48284	-9.87746	-2.705	-1.79358	-0.995257	radar	0.423366	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927
1477010451609692	4.54848	-9.7321	-2.70966	-1.86823	-1.01477	lidar	0.47873	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926
1477010451664722	4.56362	-9.57632	-2.75258	-1.88697	-0.964352	radar	2.06404	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578
1477010451719753	4.64523	-9.43423	-2.76042	-1.9608	-0.984264	lidar	0.619416	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576
1477010451774708	4.72068	-9.29988	-2.75765	-2.0261	-0.996701	radar	0.458734	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952
1477010451829663	4.82827	-9.15704	-2.78575	-2.10456	-1.01807	lidar	0.86382	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951
1477010451879669	4.91106	-9.03706	-2.79077	-2.16382	-1.0284	radar	0.127514	4.95209	-8.96272	5	-9.05	0.999884	1.99977
1477010451929676	5.00192	-8.92672	-2.7928	-2.22182	-1.0345	lidar	0.112791	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974
1477010451984680	5.07311	-8.80176	-2.79144	-2.24519	-0.985975	radar	1.71668	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708
1477010452039685	5.19331	-8.67439	-2.82003	-2.30924	-0.993358	lidar	0.409504	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705
1477010452089696	5.29339	-8.57129	-2.82425	-2.35876	-0.991605	radar	0.089493	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957
1477010452139708	5.40721	-8.46539	-2.84471	-2.41176	-0.993392	lidar	0.17664	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954
1477010452194711	5.49462	-8.35555	-2.82366	-2.4268	-0.93509	radar	2.22781	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807
1477010452249714	5.60013	-8.25626	-2.81076	-2.47131	-0.929649	lidar	0.214625	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808
1477010452304738	5.67596	-8.13676	-2.78363	-2.46194	-0.841744	radar	4.65013	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608
1477010452359763	5.80921	-8.0265	-2.81406	-2.50689	-0.838469	lidar	0.37368	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606
1477010452414768	5.903	-7.91482	-2.79316	-2.50733	-0.770116	radar	2.93318	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801
1477010452469773	6.03647	-7.80886	-2.81952	-2.54539	-0.764568	lidar	0.328833	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801
1477010452524779	6.12702	-7.69694	-2.78701	-2.5333	-0.682633	radar	4.26513	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798
1477010452579785	6.2564	-7.59859	-2.80187	-2.56575	-0.677168	lidar	0.168074	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798
1477010452634722	6.35671	-7.49411	-2.77375	-2.55928	-0.609738	radar	3.01556	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027
1477010452689660	6.48035	-7.40386	-2.77589	-2.58722	-0.604621	lidar	0.127084	6.452	-7.36418	6.45	-7.35	1.82025	1.82025
1477010452739683	6.5956	-7.32096	-2.78189	-2.61098	-0.598687	radar	0.741365	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908
1477010452789706	6.72634	-7.23037	-2.81239	-2.63336	-0.590366	lidar	0.450044	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908
1477010452844772	6.79432	-7.10428	-2.73193	-2.57269	-0.447672	radar	14.2915	6.68682	-6.93297	6.8	-7.05	0.908005	1.816
1477010452899838	6.91363	-7.01077	-2.73375	-2.58814	-0.439289	lidar	0.348384	6.86356	-6.94732	6.85	-6.95	0.908	1.81601
1477010452954812	7.04505	-6.93304	-2.73784	-2.61337	-0.440712	radar	0.0233629	7.08741	-6.92602	7	-6.85	2.72856	1.81904
1477010453009787	7.17546	-6.83713	-2.75485	-2.62662	-0.430062	lidar	0.425074	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902
1477010453064726	7.26332	-6.72615	-2.69606	-2.58285	-0.324608	radar	8.06665	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202
1477010453119666	7.38585	-6.63119	-2.70566	-2.59074	-0.315205	lidar	0.323877	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018
1477010453169672	7.53648	-6.58713	-2.75272	-2.65748	-0.395969	radar	5.0685	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884
1477010453219678	7.66009	-6.5118	-2.764	-2.67114	-0.390002	lidar	0.127617	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884
1477010453274711	7.77744	-6.42993	-2.73927	-2.66946	-0.355919	radar	1.00878	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549
1477010453329744	7.90181	-6.36354	-2.7262	-2.68707	-0.354595	lidar	0.134389	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545
